model,horizon,regime,meta_model,position_sizing,cost_bps,cagr,annual_volatility,sharpe,sortino,max_drawdown,cost_drag,turnover,number_of_trades,gross_cagr
ridge,1,none,none,equal,5,-0.0492066224980227,0.022082905781347,-2.2737014799634565,-3.4281708757882288,-0.1595754928347224,0.1184838888888888,0.3027612903225806,5866.0,-0.0118569733809699
ridge,1,none,none,equal,10,-0.0848039057459774,0.0220792655797806,-4.001847698163579,-5.906591284972958,-0.246198844221395,0.2358038888888888,0.3027612903225806,5866.0,-0.0118569733809699
ridge,1,none,none,equal,20,-0.1520659081943778,0.0221294380719115,-7.44048279779275,-10.425329229264827,-0.3985251218444168,0.470443888888889,0.3027612903225806,5866.0,-0.0118569733809699
ridge,1,none,none,equal,50,-0.3257185708576045,0.0227306587203562,-17.313235116689174,-21.29921023465727,-0.7022906200686451,1.1743638888888888,0.3027612903225806,5866.0,-0.0118569733809699
ridge,1,none,none,inverse_volatility,5,-0.0492066224980227,0.022082905781347,-2.273701479963456,-3.4281708757882283,-0.1595754928347224,0.1184838888888888,0.3027612903225806,5866.0,-0.0118569733809699
ridge,1,none,none,inverse_volatility,10,-0.0848039057459774,0.0220792655797806,-4.001847698163578,-5.906591284972958,-0.2461988442213951,0.2358038888888888,0.3027612903225806,5866.0,-0.0118569733809699
ridge,1,none,none,inverse_volatility,20,-0.1520659081943778,0.0221294380719115,-7.44048279779275,-10.425329229264827,-0.3985251218444168,0.470443888888889,0.3027612903225806,5866.0,-0.0118569733809699
ridge,1,none,none,inverse_volatility,50,-0.3257185708576046,0.0227306587203562,-17.313235116689174,-21.29921023465727,-0.7022906200686452,1.1743638888888888,0.3027612903225806,5866.0,-0.0118569733809699
ridge,1,none,none,prediction_magnitude,5,-0.0492066224980227,0.022082905781347,-2.273701479963456,-3.4281708757882283,-0.1595754928347224,0.1184838888888888,0.3027612903225806,5866.0,-0.0118569733809699
ridge,1,none,none,prediction_magnitude,10,-0.0848039057459774,0.0220792655797806,-4.001847698163578,-5.906591284972958,-0.2461988442213951,0.2358038888888888,0.3027612903225806,5866.0,-0.0118569733809699
ridge,1,none,none,prediction_magnitude,20,-0.1520659081943778,0.0221294380719115,-7.44048279779275,-10.425329229264827,-0.3985251218444168,0.470443888888889,0.3027612903225806,5866.0,-0.0118569733809699
ridge,1,none,none,prediction_magnitude,50,-0.3257185708576046,0.0227306587203562,-17.313235116689174,-21.29921023465727,-0.7022906200686452,1.1743638888888888,0.3027612903225806,5866.0,-0.0118569733809699
ridge,1,hard,none,equal,5,-0.0051139645831427,0.0068383607311666,-0.7463311600289928,-0.910787441875653,-0.02147522114824,0.0221778571428571,0.0566709677419354,1098.0,0.0020865351388963
ridge,1,hard,none,equal,10,-0.0121930423803211,0.006854749857136,-1.7862393067378626,-2.1657296121011025,-0.0408940952632638,0.0441378571428571,0.0566709677419354,1098.0,0.0020865351388963
ridge,1,hard,none,equal,20,-0.0262012979070855,0.006926576055787,-3.82949776195387,-4.588222490271845,-0.0793113956677959,0.0880578571428571,0.0566709677419354,1098.0,0.0020865351388963
ridge,1,hard,none,equal,50,-0.0670519223809069,0.0074347312531617,-9.330338482247514,-10.95423601560783,-0.1920459927475502,0.2198178571428571,0.0566709677419354,1098.0,0.0020865351388963
ridge,1,hard,none,inverse_volatility,5,-0.0051139645831427,0.0068383607311666,-0.7463311600289928,-0.910787441875653,-0.02147522114824,0.0221778571428571,0.0566709677419354,1098.0,0.0020865351388963
ridge,1,hard,none,inverse_volatility,10,-0.0121930423803211,0.006854749857136,-1.7862393067378626,-2.1657296121011025,-0.0408940952632638,0.0441378571428571,0.0566709677419354,1098.0,0.0020865351388963
ridge,1,hard,none,inverse_volatility,20,-0.0262012979070855,0.006926576055787,-3.82949776195387,-4.588222490271845,-0.0793113956677959,0.0880578571428571,0.0566709677419354,1098.0,0.0020865351388963
ridge,1,hard,none,inverse_volatility,50,-0.0670519223809069,0.0074347312531617,-9.330338482247514,-10.95423601560783,-0.1920459927475502,0.2198178571428571,0.0566709677419354,1098.0,0.0020865351388963
ridge,1,hard,none,prediction_magnitude,5,-0.0051139645831427,0.0068383607311666,-0.7463311600289928,-0.910787441875653,-0.02147522114824,0.0221778571428571,0.0566709677419354,1098.0,0.0020865351388963
ridge,1,hard,none,prediction_magnitude,10,-0.0121930423803211,0.006854749857136,-1.7862393067378626,-2.1657296121011025,-0.0408940952632638,0.0441378571428571,0.0566709677419354,1098.0,0.0020865351388963
ridge,1,hard,none,prediction_magnitude,20,-0.0262012979070855,0.006926576055787,-3.82949776195387,-4.588222490271845,-0.0793113956677959,0.0880578571428571,0.0566709677419354,1098.0,0.0020865351388963
ridge,1,hard,none,prediction_magnitude,50,-0.0670519223809069,0.0074347312531617,-9.330338482247514,-10.95423601560783,-0.1920459927475502,0.2198178571428571,0.0566709677419354,1098.0,0.0020865351388963
xgboost,1,none,none,equal,5,-0.0407172969962609,0.0190738029769596,-2.169694679889276,-3.1415124868771436,-0.1265150395888462,0.1083846825396825,0.2769548387096774,5366.0,-0.0063036678238358
xgboost,1,none,none,equal,10,-0.0736233505851889,0.0190949221183937,-3.994812759582053,-5.630969298838763,-0.213370058660818,0.2157046825396825,0.2769548387096774,5366.0,-0.0063036678238358
xgboost,1,none,none,equal,20,-0.1361015567000753,0.0192066736601386,-7.605338668287103,-10.25783294496265,-0.3631237890060672,0.4303446825396826,0.2769548387096774,5366.0,-0.0063036678238358
xgboost,1,none,none,equal,50,-0.2994600988491097,0.0200768958756981,-17.704485700470794,-21.392894615465476,-0.6651075052334127,1.0742646825396824,0.2769548387096774,5366.0,-0.0063036678238358
xgboost,1,none,none,inverse_volatility,5,-0.0407172969962609,0.0190738029769596,-2.169694679889276,-3.1415124868771427,-0.1265150395888462,0.1083846825396825,0.2769548387096774,5366.0,-0.0063036678238359
xgboost,1,none,none,inverse_volatility,10,-0.0736233505851889,0.0190949221183937,-3.994812759582053,-5.630969298838762,-0.213370058660818,0.2157046825396825,0.2769548387096774,5366.0,-0.0063036678238359
xgboost,1,none,none,inverse_volatility,20,-0.1361015567000753,0.0192066736601386,-7.605338668287103,-10.257832944962647,-0.3631237890060672,0.4303446825396826,0.2769548387096774,5366.0,-0.0063036678238359
xgboost,1,none,none,inverse_volatility,50,-0.2994600988491097,0.0200768958756981,-17.7044857004708,-21.392894615465483,-0.6651075052334127,1.0742646825396824,0.2769548387096774,5366.0,-0.0063036678238359
xgboost,1,none,none,prediction_magnitude,5,-0.0407172969962609,0.0190738029769596,-2.169694679889276,-3.1415124868771427,-0.1265150395888462,0.1083846825396825,0.2769548387096774,5366.0,-0.0063036678238359
xgboost,1,none,none,prediction_magnitude,10,-0.0736233505851889,0.0190949221183937,-3.994812759582053,-5.630969298838762,-0.213370058660818,0.2157046825396825,0.2769548387096774,5366.0,-0.0063036678238359
xgboost,1,none,none,prediction_magnitude,20,-0.1361015567000753,0.0192066736601386,-7.605338668287103,-10.257832944962647,-0.3631237890060672,0.4303446825396826,0.2769548387096774,5366.0,-0.0063036678238359
xgboost,1,none,none,prediction_magnitude,50,-0.2994600988491097,0.0200768958756981,-17.7044857004708,-21.392894615465483,-0.6651075052334127,1.0742646825396824,0.2769548387096774,5366.0,-0.0063036678238359
xgboost,1,hard,none,equal,5,-0.0062092340143053,0.0065458346808604,-0.948254630322738,-1.1658738460231457,-0.0264391292550193,0.021733492063492,0.0555354838709677,1076.0,0.0008387855369604
xgboost,1,hard,none,equal,10,-0.0131393987884321,0.0065688294454105,-2.0101890485862275,-2.457144160378979,-0.0421221236819521,0.043253492063492,0.0555354838709677,1076.0,0.0008387855369604
xgboost,1,hard,none,equal,20,-0.0268559183591564,0.0066560374432991,-4.086445002808895,-4.957936362138013,-0.0804985995899141,0.086293492063492,0.0555354838709677,1076.0,0.0008387855369604
xgboost,1,hard,none,equal,50,-0.0668785576315521,0.0072224782746366,-9.579032864396009,-11.351030490975074,-0.1918119722973713,0.215413492063492,0.0555354838709677,1076.0,0.0008387855369604
xgboost,1,hard,none,inverse_volatility,5,-0.0062092340143053,0.0065458346808604,-0.948254630322738,-1.1658738460231457,-0.0264391292550193,0.021733492063492,0.0555354838709677,1076.0,0.0008387855369604
xgboost,1,hard,none,inverse_volatility,10,-0.0131393987884321,0.0065688294454105,-2.0101890485862275,-2.457144160378979,-0.0421221236819521,0.043253492063492,0.0555354838709677,1076.0,0.0008387855369604
xgboost,1,hard,none,inverse_volatility,20,-0.0268559183591564,0.0066560374432991,-4.086445002808895,-4.957936362138013,-0.0804985995899141,0.086293492063492,0.0555354838709677,1076.0,0.0008387855369604
xgboost,1,hard,none,inverse_volatility,50,-0.0668785576315521,0.0072224782746366,-9.579032864396009,-11.351030490975074,-0.1918119722973713,0.215413492063492,0.0555354838709677,1076.0,0.0008387855369604
xgboost,1,hard,none,prediction_magnitude,5,-0.0062092340143053,0.0065458346808604,-0.948254630322738,-1.1658738460231457,-0.0264391292550193,0.021733492063492,0.0555354838709677,1076.0,0.0008387855369604
xgboost,1,hard,none,prediction_magnitude,10,-0.0131393987884321,0.0065688294454105,-2.0101890485862275,-2.457144160378979,-0.0421221236819521,0.043253492063492,0.0555354838709677,1076.0,0.0008387855369604
xgboost,1,hard,none,prediction_magnitude,20,-0.0268559183591564,0.0066560374432991,-4.086445002808895,-4.957936362138013,-0.0804985995899141,0.086293492063492,0.0555354838709677,1076.0,0.0008387855369604
xgboost,1,hard,none,prediction_magnitude,50,-0.0668785576315521,0.0072224782746366,-9.579032864396009,-11.351030490975074,-0.1918119722973713,0.215413492063492,0.0555354838709677,1076.0,0.0008387855369604
