baseline,cagr,annual_volatility,sharpe,sortino,max_drawdown,cost_drag,turnover,number_of_trades,gross_cagr
SPY,0.08877566161797645,0.17498628836363142,0.5736117926258534,0.813872631380807,-0.24496385408343246,0.0,,,
equal_weight_universe,-0.022941151073812893,0.15655479600744426,-0.070002115549914,-0.10181803915168935,-0.21996672972354847,0.3002000000000001,0.39867197875165994,225900.0,0.08031320509813145
momentum_20d,-0.11289185796907886,0.08824061705391432,-1.3130749552820056,-1.805801113331327,-0.330305243219602,0.30762063492063485,0.39867197875165994,45180.0,-0.016669582541848138
mean_reversion_5d,-0.08507924451283089,0.07939146569740917,-1.0801290625508009,-1.4991359494059004,-0.23672099477713626,0.30762063492063485,0.39867197875165994,45180.0,0.014146646993247192
