model,horizon,regime,meta_model,position_sizing,cost_bps,cagr,annual_volatility,sharpe,sortino,max_drawdown,cost_drag,turnover,number_of_trades,gross_cagr,feature_count,train_period,test_period,rank_ic,pearson_ic,icir,direction_accuracy,prediction_target_correlation,top_decile_alpha,bottom_decile_alpha,top_bottom_spread,fold_rank_ic_std,cost_sensitivity,robustness_score
ridge,20,none,triple_barrier_lgbm_p>0.60,equal,10,0.0009196127405048937,0.0018660562112319315,0.493516808903692,0.39517661383030694,-0.0023841825063058986,0.0010854603174603175,0.0003569364161849711,502.0,0.0010185249780525485,38,2014-01-02..2022-12-01,2022-2024,0.0492333767070269,0.0350596860216191,0.2225023985303446,0.5192418124719606,0.0329731659471641,0.0858549170555608,-0.0433339735298801,0.1291888905854409,0.082240973295498,0.21559243886775364,1.2922964138742892
ridge,20,none,triple_barrier_lgbm_p>0.55,equal,10,0.0009372785310082232,0.002680688760900361,0.35081693943339387,0.248617592393134,-0.0052240919267160235,0.0020643095238095234,0.0006784682080924856,958.0,0.0011254033858283385,38,2014-01-02..2022-12-01,2022-2024,0.0492333767070269,0.0350596860216191,0.2225023985303446,0.5192418124719606,0.0329731659471641,0.0858549170555608,-0.0433339735298801,0.1291888905854409,0.082240973295498,0.2868011872669599,1.1289222947045887
ridge,20,none,triple_barrier_lgbm_p>0.50,equal,10,0.0007533564231874124,0.003047846347450694,0.2486066156946613,0.1735244748803681,-0.00593272891807739,0.0021214682539682536,0.0006972543352601157,984.0,0.0009466562474176321,38,2014-01-02..2022-12-01,2022-2024,0.0492333767070269,0.0350596860216191,0.2225023985303446,0.5192418124719606,0.0329731659471641,0.0858549170555608,-0.0433339735298801,0.1291888905854409,0.082240973295498,0.2593729797223264,1.0328585072479364
ridge,20,none,none,prediction_magnitude,10,-0.0116305706742018,0.0338324800588384,-0.3288824638808498,-0.4928797065050661,-0.0655614857389588,0.0219445476190476,0.0257909677419354,9994.0,-0.004552622037214,38,2014-01-02..2022-12-01,2022-2024,0.0492333767070269,0.0350596860216191,0.2225023985303446,0.5192418124719606,0.0329731659471641,0.0858549170555608,-0.0433339735298801,0.1291888905854409,0.082240973295498,0.8646028223560718,-1.75807616114756
ridge,20,none,none,equal,10,-0.0116305706742018,0.0338324800588384,-0.3288824638808499,-0.4928797065050661,-0.0655614857389588,0.0219445476190476,0.0257909677419354,9994.0,-0.0045526220372139,38,2014-01-02..2022-12-01,2022-2024,0.0492333767070269,0.0350596860216191,0.2225023985303446,0.5192418124719606,0.0329731659471641,0.0858549170555608,-0.0433339735298801,0.1291888905854409,0.082240973295498,0.8646028223560718,-1.75807616114756
ridge,20,none,none,inverse_volatility,10,-0.0116305706742018,0.0338324800588384,-0.3288824638808498,-0.4928797065050661,-0.0655614857389588,0.0219445476190476,0.0257909677419354,9994.0,-0.004552622037214,38,2014-01-02..2022-12-01,2022-2024,0.0492333767070269,0.0350596860216191,0.2225023985303446,0.5192418124719606,0.0329731659471641,0.0858549170555608,-0.0433339735298801,0.1291888905854409,0.082240973295498,0.8646028223560718,-1.75807616114756
ridge,20,hard,none,equal,10,-0.0028705147690308,0.0062633375879275,-0.4558331107278174,-0.6265745971776374,-0.0132519641222694,0.0040182539682539,0.0047225806451612,1830.0,-0.001566819062631,38,2014-01-02..2022-12-01,2022-2024,0.0492333767070269,0.0350596860216191,0.2225023985303446,0.5192418124719606,0.0329731659471641,0.0858549170555608,-0.0433339735298801,0.1291888905854409,0.082240973295498,0.8545723565344552,-1.8281028312127565
ridge,20,hard,none,inverse_volatility,10,-0.0028705147690308,0.0062633375879275,-0.4558331107278175,-0.6265745971776376,-0.0132519641222694,0.0040182539682539,0.0047225806451612,1830.0,-0.001566819062631,38,2014-01-02..2022-12-01,2022-2024,0.0492333767070269,0.0350596860216191,0.2225023985303446,0.5192418124719606,0.0329731659471641,0.0858549170555608,-0.0433339735298801,0.1291888905854409,0.082240973295498,0.8545723565344552,-1.8281028312127567
ridge,20,hard,none,prediction_magnitude,10,-0.0028705147690308,0.0062633375879275,-0.4558331107278175,-0.6265745971776376,-0.0132519641222694,0.0040182539682539,0.0047225806451612,1830.0,-0.001566819062631,38,2014-01-02..2022-12-01,2022-2024,0.0492333767070269,0.0350596860216191,0.2225023985303446,0.5192418124719606,0.0329731659471641,0.0858549170555608,-0.0433339735298801,0.1291888905854409,0.082240973295498,0.8545723565344552,-1.8281028312127567
xgboost,20,hard,none,prediction_magnitude,10,-0.0038960918846798,0.0048876745643875,-0.7962357184312873,-1.0512823769294524,-0.0177474577129094,0.0036006944444444,0.0042322580645161,1640.0,-0.002729147518806,38,2014-01-02..2022-12-01,2022-2024,0.0412798596932383,0.0309283558458821,0.2087367266487672,0.519537909376402,0.0381151590421837,0.0578457832789327,-0.0482826993501052,0.1061121667836246,0.0809258534717403,0.9812924038796024,-2.3103833061623718
xgboost,20,hard,none,inverse_volatility,10,-0.0038960918846798,0.0048876745643875,-0.7962357184312873,-1.0512823769294524,-0.0177474577129094,0.0036006944444444,0.0042322580645161,1640.0,-0.002729147518806,38,2014-01-02..2022-12-01,2022-2024,0.0412798596932383,0.0309283558458821,0.2087367266487672,0.519537909376402,0.0381151590421837,0.0578457832789327,-0.0482826993501052,0.1061121667836246,0.0809258534717403,0.9812924038796024,-2.3103833061623718
xgboost,20,hard,none,equal,10,-0.0038960918846798,0.0048876745643875,-0.7962357184312872,-1.051282376929452,-0.0177474577129094,0.0036006944444444,0.0042322580645161,1640.0,-0.002729147518806,38,2014-01-02..2022-12-01,2022-2024,0.0412798596932383,0.0309283558458821,0.2087367266487672,0.519537909376402,0.0381151590421837,0.0578457832789327,-0.0482826993501052,0.1061121667836246,0.0809258534717403,0.9812924038796024,-2.3103833061623718
xgboost,20,none,none,equal,10,-0.0204067219432712,0.028671653387184,-0.7047516527744677,-1.0189648544045924,-0.1073089615106839,0.0215539841269841,0.0253316129032258,9816.0,-0.013516686912338,38,2014-01-02..2022-12-01,2022-2024,0.0412798596932383,0.0309283558458821,0.2087367266487672,0.519537909376402,0.0381151590421837,0.0578457832789327,-0.0482826993501052,0.1061121667836246,0.0809258534717403,1.002271025820252,-2.31581533527236
xgboost,20,none,none,prediction_magnitude,10,-0.0204067219432712,0.028671653387184,-0.7047516527744677,-1.0189648544045922,-0.1073089615106839,0.0215539841269841,0.0253316129032258,9816.0,-0.013516686912338,38,2014-01-02..2022-12-01,2022-2024,0.0412798596932383,0.0309283558458821,0.2087367266487672,0.519537909376402,0.0381151590421837,0.0578457832789327,-0.0482826993501052,0.1061121667836246,0.0809258534717403,1.0022710258202525,-2.3158153352723603
xgboost,20,none,none,inverse_volatility,10,-0.0204067219432712,0.028671653387184,-0.7047516527744677,-1.0189648544045922,-0.1073089615106839,0.0215539841269841,0.0253316129032258,9816.0,-0.013516686912338,38,2014-01-02..2022-12-01,2022-2024,0.0412798596932383,0.0309283558458821,0.2087367266487672,0.519537909376402,0.0381151590421837,0.0578457832789327,-0.0482826993501052,0.1061121667836246,0.0809258534717403,1.0022710258202525,-2.3158153352723603
ridge,10,hard,none,equal,10,-0.0039770559306709,0.007245138311739,-0.5463995958186698,-0.729096407480678,-0.0170679373139489,0.0078400158730158,0.0096412903225806,1868.0,-0.001434642799504,38,2014-01-02..2022-12-15,2022-2024,0.0366674042751813,0.0255858311870333,0.1552532110222912,0.5114625392552714,0.0144130945265481,0.046981387369765,-0.0316836965721317,0.0786650839418968,0.062484103821621,1.5059702710254528,-2.3262278689464653
ridge,10,hard,none,inverse_volatility,10,-0.0039770559306709,0.007245138311739,-0.5463995958186697,-0.7290964074806779,-0.0170679373139489,0.0078400158730158,0.0096412903225806,1868.0,-0.001434642799504,38,2014-01-02..2022-12-15,2022-2024,0.0366674042751813,0.0255858311870333,0.1552532110222912,0.5114625392552714,0.0144130945265481,0.046981387369765,-0.0316836965721317,0.0786650839418968,0.062484103821621,1.5059702710254532,-2.3262278689464653
ridge,10,hard,none,prediction_magnitude,10,-0.0039770559306709,0.007245138311739,-0.5463995958186697,-0.7290964074806779,-0.0170679373139489,0.0078400158730158,0.0096412903225806,1868.0,-0.001434642799504,38,2014-01-02..2022-12-15,2022-2024,0.0366674042751813,0.0255858311870333,0.1552532110222912,0.5114625392552714,0.0144130945265481,0.046981387369765,-0.0316836965721317,0.0786650839418968,0.062484103821621,1.5059702710254532,-2.3262278689464653
lightgbm,20,none,none,inverse_volatility,10,-0.0190223920878073,0.0263296028340232,-0.7162520916270929,-1.008807141961162,-0.0988584230875405,0.0216149444444444,0.0254038709677419,9844.0,-0.0121030628958561,38,2014-01-02..2022-12-01,2022-2024,0.0392639126432119,0.0294206044295807,0.199250374700453,0.5182907133243607,0.0360953123409717,0.0576504272984348,-0.0429882225326078,0.1006261567200982,0.0808460160571573,1.0944486611574415,-2.3809692073249002
lightgbm,20,none,none,prediction_magnitude,10,-0.0190223920878073,0.0263296028340232,-0.7162520916270929,-1.008807141961162,-0.0988584230875405,0.0216149444444444,0.0254038709677419,9844.0,-0.0121030628958561,38,2014-01-02..2022-12-01,2022-2024,0.0392639126432119,0.0294206044295807,0.199250374700453,0.5182907133243607,0.0360953123409717,0.0576504272984348,-0.0429882225326078,0.1006261567200982,0.0808460160571573,1.0944486611574415,-2.3809692073249002
lightgbm,20,none,none,equal,10,-0.0190223920878073,0.0263296028340232,-0.7162520916270932,-1.0088071419611624,-0.0988584230875405,0.0216149444444444,0.0254038709677419,9844.0,-0.0121030628958559,38,2014-01-02..2022-12-01,2022-2024,0.0392639126432119,0.0294206044295807,0.199250374700453,0.5182907133243607,0.0360953123409717,0.0576504272984348,-0.0429882225326078,0.1006261567200982,0.0808460160571573,1.0944486611574415,-2.3809692073249007
ridge,10,none,none,equal,10,-0.0197998932251256,0.0338685031114771,-0.5735433231333319,-0.8880386307632021,-0.0805249825448096,0.0412327063492063,0.0507045161290322,9824.0,-0.0065689154445935,38,2014-01-02..2022-12-15,2022-2024,0.0366674042751813,0.0255858311870333,0.1552532110222912,0.5114625392552714,0.0144130945265481,0.046981387369765,-0.0316836965721317,0.0786650839418968,0.062484103821621,1.6977932276719543,-2.468890703234259
ridge,10,none,none,prediction_magnitude,10,-0.0197998932251256,0.0338685031114771,-0.5735433231333317,-0.8880386307632017,-0.0805249825448096,0.0412327063492063,0.0507045161290322,9824.0,-0.0065689154445934,38,2014-01-02..2022-12-15,2022-2024,0.0366674042751813,0.0255858311870333,0.1552532110222912,0.5114625392552714,0.0144130945265481,0.046981387369765,-0.0316836965721317,0.0786650839418968,0.062484103821621,1.6977932276719547,-2.468890703234259
ridge,10,none,none,inverse_volatility,10,-0.0197998932251256,0.0338685031114771,-0.5735433231333317,-0.8880386307632017,-0.0805249825448096,0.0412327063492063,0.0507045161290322,9824.0,-0.0065689154445934,38,2014-01-02..2022-12-15,2022-2024,0.0366674042751813,0.0255858311870333,0.1552532110222912,0.5114625392552714,0.0144130945265481,0.046981387369765,-0.0316836965721317,0.0786650839418968,0.062484103821621,1.6977932276719547,-2.468890703234259
