threshold,rank_ic,cagr_10bps,sharpe_10bps,sharpe_20bps,max_drawdown,turnover,number_of_trades,robustness_score
0.02,0.04923337670702696,-0.002191622062701959,-0.2518360045191134,-0.4777330815775377,-0.030418161604041427,0.00768464384523213,9994.0,-0.5089197075661023
0.05,0.04923337670702696,-0.0019005682518900002,-0.22186282599893095,-0.44624329698752246,-0.029451725538256146,0.007497162812356943,9579.0,-0.4764447388070143
0.1,0.04923337670702696,0.0035778205260967866,0.5021602317081072,0.30180599809419273,-0.01274656416094011,0.005694741557192427,6222.0,0.2884899597775334
0.15,0.04923337670702696,-0.00013557732512314846,-0.045512459180361606,-0.1807094317940659,-0.003601593618078991,0.0015493009503512168,1300.0,-0.18446595550718
0.2,0.04923337670702696,-0.0006407655647359123,-1.208672743556387,-1.2746244864656622,-0.0020072960310399957,0.0001381196868134374,109.0,-1.2766455944653836
